ref;cliente;contrato;prazo;valor;mes;dia;prob;atraso;pgto
1,0;0873324;00001000173;14,0;5077,175383347836;0,0;1,0;0,06;0,0;390,4407357518871
1,0;0988850;00001000174;17,0;4962,299092455697;0,0;1,0;0,06;0,0;318,86768870475316
1,0;0768035;00001000175;26,0;6467,431083126277;0,0;1,0;0,06;0,0;283,7189427416835
1,0;0077374;00001000176;30,0;5790,294996363012;0,0;1,0;0,06;0,0;224,36300607222702
1,0;0949428;00001000177;16,0;4994,353612258968;0,0;1,0;0,06;0,0;339,3393425659128
1,0;0532361;00001000178;31,0;7793,150824860506;0,0;1,0;0,06;0,0;293,6126530524831
1,0;0816407;00001000179;19,0;4908,974136563455;0,0;1,0;0,06;0,0;284,97455680010836
1,0;0952299;00001000180;6,0;6150,472183945874;0,0;1,0;0,06;0,0;1061,2539298405675
1,0;0044574;00001000181;21,0;5078,093095441527;0,0;1,0;0,06;0,0;269,29509662854855
1,0;0397499;00001000182;0,0;9233,098708678615;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0934932;00001000183;6,0;4434,484587449832;0,0;1,0;0,06;0,0;765,1630727690448
1,0;0652466;00001000184;0,0;6,366462912410498e-12;0,0;1,0;0,06;0,0;6949,734666480037
1,0;0296823;00001000185;3,0;3781,689896443841;0,0;1,0;0,06;0,0;1285,8581835569726
1,0;0088768;00001000186;14,0;5021,69130681348;0,0;1,0;0,06;0,0;386,1739452573852
1,0;0323201;00001000187;19,0;5133,696807109523;0,0;1,0;0,06;0,0;298,0201018896237
1,0;0236407;00001000188;12,0;5222,512462418937;0,0;1,0;0,06;0,0;464,0139061434658
1,0;0031423;00001000189;20,0;4983,5990017152535;0,0;1,0;0,06;0,0;276,1677079682879
1,0;0042551;00001000190;28,0;5824,333683798993;0,0;1,0;0,06;0,0;239,5224353457139
1,0;0294186;00001000191;31,0;5016,258468199562;0,0;1,0;0,06;0,0;188,99120398730662
1,0;0543544;00001000192;27,0;5001,31767822715;0,0;1,0;0,06;0,0;212,2835730402042
1,0;0368425;00001000193;13,0;5283,129360023015;0,0;1,0;0,06;0,0;435,4081534913382
1,0;0595022;00001000194;13,0;4711,919019021414;0,0;1,0;0,06;0,0;388,33195624494306
1,0;0685566;00001000195;15,0;5611,668493009631;0,0;1,0;0,06;0,0;404,734744860398
1,0;0288822;00001000196;18,0;7111,46135204281;0,0;1,0;0,06;0,0;433,6714767758588
1,0;0491638;00001000197;12,0;5144,617585099491;0,0;1,0;0,06;0,0;457,09304064938516
1,0;0274967;00001000198;12,0;5530,296190753227;0,0;1,0;0,06;0,0;491,36011758087136
1,0;0342365;00001000199;27,0;5008,7689016075665;0,0;1,0;0,06;0,0;212,59984415603466
1,0;0235530;00001000200;31,0;5341,1169523988365;0,0;1,0;0,06;0,0;201,23048480657195
1,0;0477507;00001000201;17,0;6602,869105289464;0,0;1,0;0,06;0,0;424,287527050642
1,0;0167904;00001000202;1,0;2605,7018261542844;0,0;1,0;0,06;0,0;2631,7588444158255
1,0;0298342;00001000203;14,0;5300,237000605115;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0455065;00001000204;34,0;5412,5645031532185;0,0;1,0;0,06;0,0;188,57358142880432
1,0;0129002;00001000205;30,0;6988,107977750368;0,0;1,0;0,06;0,0;270,77599908643566
1,0;0769667;00001000206;5,0;4724,427098847658;0,0;1,0;0,06;0,0;973,4200127464023
1,0;0747298;00001000207;32,0;8157,156836995059;0,0;1,0;0,06;0,0;299,1301664114407
1,0;0360831;00001000208;26,0;5492,718353804171;0,0;1,0;0,06;0,0;240,95938929833233
1,0;0907039;00001000209;6,0;4394,916399294831;0,0;1,0;0,06;0,0;758,3356465291904
1,0;0614074;00001000210;22,0;5005,9740837311265;0,0;1,0;0,06;0,0;254,62245650381323
1,0;0186083;00001000211;16,0;7720,472546869545;0,0;1,0;0,06;0,0;524,5643944638344
1,0;0666128;00001000212;8,0;4604,263472612911;0,0;1,0;0,06;0,0;601,7325378801509
1,0;0739964;00001000213;34,0;5109,645682618527;0,0;1,0;0,06;0,0;178,01989900393195
1,0;0420409;00001000214;3,0;3968,983469543893;0,0;1,0;0,06;0,0;1349,5421397493612
1,0;0915934;00001000215;29,0;5058,842797888297;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0237948;00001000216;21,0;5116,598391899973;0,0;1,0;0,06;0,0;271,33706146369434
1,0;0702855;00001000217;15,0;5010,374062110603;0,0;1,0;0,06;0,0;361,36711749982743
1,0;0754763;00001000218;17,0;5194,456544062047;0,0;1,0;0,06;0,0;333,7856750312622
1,0;0687095;00001000219;7,0;4618,375894942575;0,0;1,0;0,06;0,0;686,4212791172604
1,0;0737673;00001000220;16,0;15874,061575895508;0,0;1,0;0,06;0,0;1078,5567136842708
1,0;0851191;00001000221;33,0;4934,37053606566;0,0;1,0;0,06;0,0;176,29241649253166
1,0;0814739;00001000222;31,0;5443,188450944966;0,0;1,0;0,06;0,0;205,07610311458254
1,0;0826803;00001000223;26,0;4873,007146907771;0,0;1,0;0,06;0,0;213,77335419939655
1,0;0384908;00001000224;30,0;4917,0246997456325;0,0;1,0;0,06;0,0;190,52542975086038
1,0;0238622;00001000225;33,0;4930,6812955594205;0,0;1,0;0,06;0,0;176,1606093817536
1,0;0857502;00001000226;4,0;5033,658944515362;0,0;1,0;0,06;0,0;1290,0316206786065
1,0;0858541;00001000227;28,0;5760,951526819422;0,0;1,0;0,06;0,0;236,9158799144136
1,0;0981266;00001000228;14,0;5326,530270643271;0,0;1,0;0,06;0,0;409,61641874646625
1,0;0781118;00001000229;17,0;5065,898521032539;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0058027;00001000230;2,0;8337,98529709306;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0106509;00001000231;23,0;4941,4639395992135;0,0;1,0;0,06;0,0;241,5676157972886
1,0;0089147;00001000232;31,0;5255,420747091321;0,0;1,0;0,06;0,0;198,00181763942257
1,0;0245978;00001000233;10,0;31533,25744246402;0,0;1,0;0,06;0,0;3329,34680119803
1,0;0014881;00001000234;29,0;4934,19879780441;0,0;1,0;0,06;0,0;196,8499585415081
1,0;0028633;00001000235;15,0;4806,226964621581;0,0;1,0;0,06;0,0;346,6432571151423
1,0;0869956;00001000236;33,0;9245,872966596558;0,0;1,0;0,06;0,0;330,33135147647744
1,0;0289726;00001000237;19,0;4848,733509200999;0,0;1,0;0,06;0,0;281,4774827462625
1,0;0273520;00001000238;16,0;5221,406713340089;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0110849;00001000239;20,0;4849,360740125059;0,0;1,0;0,06;0,0;268,7288524319071
1,0;0719519;00001000240;3,0;9892,158425731723;0,0;1,0;0,06;0,0;3363,5525950265046
1,0;0141775;00001000241;8,0;5655,683949288057;0,0;1,0;0,06;0,0;739,1429870371476
1,0;0705714;00001000242;23,0;4842,003540041256;0,0;1,0;0,06;0,0;236,70541061252104
1,0;0078977;00001000243;11,0;12241,756361311966;0,0;1,0;0,06;0,0;1180,7672949128307
1,0;0939939;00001000244;18,0;5493,559415580425;0,0;1,0;0,06;0,0;335,0085033966089
1,0;0667932;00001000245;11,0;4751,768215625914;0,0;1,0;0,06;0,0;458,3274112323592
1,0;0564747;00001000246;20,0;5397,385738120653;0,0;1,0;0,06;0,0;299,0978302637267
1,0;0233495;00001000247;33,0;5046,8835099068;0,0;1,0;0,06;0,0;180,3122167690287
1,0;0510140;00001000248;0,0;4,547473508864641e-12;0,0;1,0;0,06;0,0;5249,548322807686
1,0;0681407;00001000249;21,0;4816,278685507029;0,0;1,0;0,06;0,0;255,41088153108458
1,0;0896876;00001000250;16,0;4844,118653857605;0,0;1,0;0,06;0,0;329,13168888892835
1,0;0914021;00001000251;12,0;4697,583060558183;0,0;1,0;0,06;0,0;417,3745646464914
1,0;0183378;00001000252;28,0;5222,95734511844;0,0;1,0;0,06;0,0;214,79117284941728
1,0;0945865;00001000253;10,0;5772,077307944641;0,0;1,0;0,06;0,0;609,4279081866903
1,0;0077288;00001000254;2,0;3424,671961696464;0,0;1,0;0,06;0,0;1738,0636159833534
1,0;0949546;00001000255;20,0;6490,827168200166;0,0;1,0;0,06;0,0;359,69123142595765
1,0;0039737;00001000256;32,0;5101,484688199442;0,0;1,0;0,06;0,0;187,0759621545622
1,0;0268933;00001000257;26,0;5254,681622492134;0,0;1,0;0,06;0,0;230,51698506185895
1,0;0235370;00001000258;20,0;5341,442879923024;0,0;1,0;0,06;0,0;295,99773916082756
1,0;0988559;00001000259;3,0;6203,238801808977;0,0;1,0;0,06;0,0;2109,2383554148655
1,0;0539758;00001000260;15,0;5312,781033231424;0,0;1,0;0,06;0,0;383,1778514113292
1,0;0556255;00001000261;25,0;5139,762013123411;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0742482;00001000262;23,0;4924,712476920836;0,0;1,0;0,06;0,0;240,74870647207734
1,0;0564344;00001000263;28,0;6056,652881802416;0,0;1,0;0,06;0,0;249,07643123680216
1,0;0081094;00001000264;11,0;4714,199201380925;0,0;1,0;0,06;0,0;454,70372668797563
1,0;0322989;00001000265;18,0;4762,631982562142;0,0;1,0;0,06;0,0;290,43505166829834
1,0;0775788;00001000266;0,0;4,547473508864641e-12;0,0;1,0;0,06;0,0;5242,623752897552
1,0;0514269;00001000267;31,0;5095,384854036712;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0238036;00001000268;22,0;4813,470774119992;0,0;1,0;0,06;0,0;244,83102235764042
1,0;0335646;00001000269;5,0;4713,013340091718;0,0;1,0;0,06;0,0;971,0683241794645
1,0;0705931;00001000270;16,0;4741,212131379755;0,0;1,0;0,06;0,0;322,1397467089306
1,0;0025580;00001000271;2,0;5357,1051188383535;0,0;1,0;0,06;0,0;2718,797478471129
1,0;0438111;00001000272;20,0;10544,807085428916;0,0;1,0;0,06;0,0;584,34380509916
1,0;0832034;00001000273;8,0;4849,041873130674;0,0;1,0;0,06;0,0;633,7226985297129
1,0;0968523;00001000274;6,0;6815,635282939567;0,0;1,0;0,06;0,0;1176,0267361682775
1,0;0430191;00001000275;8,0;4603,36549918812;0,0;1,0;0,06;0,0;601,6151814710178
1,0;0470394;00001000276;16,0;4964,192644582981;0,0;1,0;0,06;0,0;337,29006777743984
1,0;0158595;00001000277;17,0;6291,951643353253;0,0;1,0;0,06;0,0;404,30857563752085
1,0;0188150;00001000278;20,0;4978,1230835370625;0,0;1,0;0,06;0,0;275,86425823812857
1,0;0240304;00001000279;29,0;4894,541050549787;0,0;1,0;0,06;0,0;195,26781193112103
1,0;0974162;00001000280;31,0;5121,683128960819;0,0;1,0;0,06;0,0;192,96315513247444
1,0;0584382;00001000281;17,0;4955,78840776086;0,0;1,0;0,06;0,0;318,4493247686324
